,school,district,city,state,county,address,zip,school_sample,cleaned
206,Earlington Heights Elementary School,Dade,Miami,FL,Miami-Dade County,4750 NW 22ND AVE,33142,0,Earlington Heights Elementary School
207,Key Biscayne K-8 Center,Dade,Key Biscayne,FL,Miami-Dade County,150 W MCINTYRE ST,33149,0,Key Biscayne K-8 Center
208,D.A. Dorsey Technical College,Dade,Miami,FL,Miami-Dade County,7100 NW 17TH AVE,33147,0,D.A. Dorsey Technical College
209,Southwood Middle School,Dade,Palmetto Bay,FL,Miami-Dade County,16301 SW 80TH AVE,33157,0,Southwood Middle School
210,Charles R Hadley Elementary School,Dade,Miami,FL,Miami-Dade County,8400 NW 7TH ST,33126,0,Charles R Hadley Elementary School
211,Hialeah Elementary School,Dade,Hialeah,FL,Miami-Dade County,550 E 8TH ST,33010,0,Hialeah Elementary School
212,Hialeah-Miami Lakes Senior Adult,Dade,Hialeah,FL,Miami-Dade County,7977 W 12TH AVE,33014,0,Hialeah-Miami Lakes Senior Adult
213,Kensington Park Elementary School,Dade,Miami,FL,Miami-Dade County,711 NW 30TH AVE,33125,0,Kensington Park Elementary School
214,Hialeah Middle School,Dade,Hialeah,FL,Miami-Dade County,6027 E 7TH AVE,33013,0,Hialeah Middle School
215,South Pointe Elementary School,Dade,Miami Beach,FL,Miami-Dade County,1050 4TH ST,33139,0,South Pointe Elementary School
216,Marjory Stoneman Douglas Elem,Dade,Miami,FL,Miami-Dade County,11901 SW 2ND ST,33184,0,Marjory Stoneman Douglas Elem
217,Georgia Jones Ayers Middle School,Dade,Miami,FL,Miami-Dade County,1331 NW 46TH ST,33142,0,Georgia Jones Ayers Middle School
218,Coral Park Elementary School,Dade,Miami,FL,Miami-Dade County,1225 SW 97TH AVE,33174,0,Coral Park Elementary School
219,Fairlawn Elementary School,Dade,Miami,FL,Miami-Dade County,444 SW 60TH AVE,33144,0,Fairlawn Elementary School
220,Scott Lake Elementary School,Dade,Miami,FL,Miami-Dade County,1160 NW 175TH ST,33169,0,Scott Lake Elementary School
221,Bob Graham Education Center,Dade,Miami Lakes,FL,Miami-Dade County,15901 NW 79TH AVE,33016,1,Bob Graham Education Center
222,Cutler Ridge Elementary School,Dade,Cutler Bay,FL,Miami-Dade County,20210 CORAL SEA RD,33189,0,Cutler Ridge Elementary School
223,Dr. Robert B. Ingram/Opa-Locka Elementary School,Dade,Opa Locka,FL,Miami-Dade County,600 AHMAD ST,33054,0,Dr. Robert B. Ingram/Opa-Locka Elementary School
224,Law Enforcement Officers Memorial High School,Dade,Miami,FL,Miami-Dade County,300 NW 2ND AVE,33128,0,Law Enforcement Officers Memorial High School
225,Snapper Creek Elementary School,Dade,Miami,FL,Miami-Dade County,10151 SW 64TH ST,33173,0,Snapper Creek Elementary School
226,Maya Angelou Elementary School,Dade,Miami,FL,Miami-Dade County,1850 NW 32ND ST,33142,0,Maya Angelou Elementary School
227,Richmond Perrine Optimist,Dade,Miami,FL,Miami-Dade County,18055 HOMESTEAD AVE,33157,0,Richmond Perrine Optimist
228,International Studies Preparatory Academy,Dade,Coral Gables,FL,Miami-Dade County,1570 MADRUGA AVE,33146,0,International Studies Preparatory Academy
229,Coral Way K-8 Center,Dade,Miami,FL,Miami-Dade County,1950 SW 13TH AVE,33145,0,Coral Way K-8 Center
230,Riverside Elementary Community School,Dade,Miami,FL,Miami-Dade County,1190 SW 2ND ST,33130,0,Riverside Elementary Community School
231,Miami Senior Adult Education Center,Dade,Miami,FL,Miami-Dade County,2450 SW 1ST ST,33135,0,Miami Senior Adult Education Center
232,Everglades K-8 Center,Dade,Miami,FL,Miami-Dade County,8375 SW 16TH ST,33155,0,Everglades K-8 Center
233,George T. Baker Aviation Technical College,Dade,Miami,FL,Miami-Dade County,3275 NW 42ND AVE,33142,0,George T. Baker Aviation Technical College
234,Prek Intervention,Dade,Miami,FL,Miami-Dade County,5555 SW 93RD AVE,33165,0,Prek Intervention
235,North Hialeah Elementary School,Dade,Hialeah,FL,Miami-Dade County,4251 E 5TH AVE,33013,0,North Hialeah Elementary School
236,North Beach Elementary School,Dade,Miami Beach,FL,Miami-Dade County,4100 PRAIRIE AVE,33140,0,North Beach Elementary School
237,New World School Of The Arts,Dade,Miami,FL,Miami-Dade County,25 NE 2ND ST,33132,0,New World School Of The Arts
238,Citrus Grove Elementary School,Dade,Miami,FL,Miami-Dade County,2121 NW 5TH ST,33125,0,Citrus Grove Elementary School
239,Norland Middle School,Dade,Miami,FL,Miami-Dade County,1235 NW 192ND TER,33169,0,Norland Middle School
240,Joe Hall Elementary School,Dade,Miami,FL,Miami-Dade County,1901 SW 134TH AVE,33175,0,Joe Hall Elementary School
241,Fulford Elementary School,Dade,North Miami Beach,FL,Miami-Dade County,16140 NE 18TH AVE,33162,0,Fulford Elementary School
242,Dr. Toni Bilbao Preparatory Academy,Dade,Doral,FL,Miami-Dade County,8905 NW 114TH AVE,33178,0,Dr. Toni Bilbao Preparatory Academy
243,Dade Juvenile Residential Facility,Dade,Florida City,FL,Miami-Dade County,18500 SW 424TH ST,33034,0,Dade Juvenile Residential Facility
244,Twin Lakes Elementary School,Dade,Hialeah,FL,Miami-Dade County,6735 W 5TH PL,33012,0,Twin Lakes Elementary School
245,School For Advanced Studies,Dade,Doral,FL,Miami-Dade County,3800 NW 115TH AVE,33178,0,School For Advanced Studies
246,Bent Tree Elementary School,Dade,Miami,FL,Miami-Dade County,4861 SW 140TH AVE,33175,0,Bent Tree Elementary School
247,Nautilus Middle School,Dade,Miami Beach,FL,Miami-Dade County,4301 N MICHIGAN AVE,33140,0,Nautilus Middle School
248,Southwest Miami Adult & Community Education Center,Dade,Miami,FL,Miami-Dade County,8855 SW 50TH TER,33165,0,Southwest Miami Adult & Community Education Center
249,Pace Center For Girls,Dade,Miami,FL,Miami-Dade County,1400 NW 36TH ST STE 200,33142,0,Pace Center For Girls
250,Mast@Fiu,Dade,North Miami,FL,Miami-Dade County,3000 NE 151 ST,33181,0,Mast@Fiu
251,South Miami K-8 Center,Dade,South Miami,FL,Miami-Dade County,6800 SW 60TH ST,33143,0,South Miami K-8 Center
252,Biotech@Richmond Heights 9-12 High School,Dade,Miami,FL,Miami-Dade County,15020 SW 102ND AVE,33185,0,Biotech@Richmond Heights 9-12 High School
253,Jose Marti Mast 6-12 Academy,Dade,Hialeah,FL,Miami-Dade County,5701 W 24TH AVE,33016,0,Jose Marti Mast 6-12 Academy
254,Catapult Academy,Dade,Homestead,FL,Miami-Dade County,13426 SW 134TH ST,33033,0,Catapult Academy
255,Amikids Miami-Dade South,Dade,Miami,FL,Miami-Dade County,1820 ARTHUR LAMB JR RD,33149,0,Amikids Miami-Dade South
256,Miami Arts Studio 6-12 At Zelda Glazer,Dade,Miami,FL,Miami-Dade County,15015 SW 24TH ST,33185,0,Miami Arts Studio 6-12 At Zelda Glazer
257,Redland Elementary School,Dade,Homestead,FL,Miami-Dade County,24501 SW 162ND AVE,33031,0,Redland Elementary School
258,Christina M. Eve Elementary School,Dade,Miami,FL,Miami-Dade County,16251 SW 99TH ST,33196,0,Christina M. Eve Elementary School
259,South Miami Senior High School,Dade,Miami,FL,Miami-Dade County,6856 SW 53RD ST,33155,1,South Miami Senior High School
260,Secondary Student Success Center 802,Dade,Miami,FL,Miami-Dade County,750 NW 20TH ST,33127,0,Secondary Student Success Center 802
261,Miami Southridge Senior High,Dade,Miami,FL,Miami-Dade County,19355 SW 114TH AVE,33157,0,Miami Southridge Senior High School
262,Leewood K-8 Center,Dade,Miami,FL,Miami-Dade County,10343 SW 124TH ST,33176,0,Leewood K-8 Center
263,The English Center,Dade,Miami,FL,Miami-Dade County,3501 SW 28TH ST,33133,0,The English Center
264,Poinciana Park Elementary School,Dade,Miami,FL,Miami-Dade County,6745 NW 23RD AVE,33147,0,Poinciana Park Elementary School
265,George W. Carver Elementary School,Dade,Coral Gables,FL,Miami-Dade County,238 GRAND AVE,33133,0,George W. Carver Elementary School
266,Boystown,Dade,Cutler Bay,FL,Miami-Dade County,9525 STERLING DR,33157,0,Boystown
267,George Washington Carver Middle School,Dade,Coral Gables,FL,Miami-Dade County,4901 LINCOLN DR,33133,0,George Washington Carver Middle School
268,Lawton Chiles Middle School,Dade,Hialeah,FL,Miami-Dade County,8190 NW 197TH ST,33015,0,Lawton Chiles Middle School
269,Sunset Park Elementary School,Dade,Miami,FL,Miami-Dade County,10235 SW 84TH ST,33173,0,Sunset Park Elementary School
270,Miami Springs Middle School,Dade,Miami Springs,FL,Miami-Dade County,150 S ROYAL POINCIANA BLVD,33166,0,Miami Springs Middle School
271,Miami Edison Senior High School,Dade,Miami,FL,Miami-Dade County,6161 NW 5TH CT,33127,0,Miami Edison Senior High School
272,Itech@Thomas A Edison Educational Center,Dade,Miami,FL,Miami-Dade County,6101 NW 2ND AVE,33127,0,Itech@Thomas A Edison Educational Center
273,Miami Sunset Adult Education Center,Dade,Miami,FL,Miami-Dade County,13125 SW 72ND ST,33183,0,Miami Sunset Adult Education Center
274,Miami Carol City Senior High,Dade,Miami Gardens,FL,Miami-Dade County,3301 MIAMI GARDENS DR,33056,0,Miami Carol City Senior High School
275,Virginia A Boone-Highland Oaks School,Dade,Miami,FL,Miami-Dade County,20500 NE 24TH AVE,33180,0,Virginia A Boone-Highland Oaks School
276,Jose De Diego Middle School,Dade,Miami,FL,Miami-Dade County,3100 NW 5TH AVE,33127,0,Jose De Diego Middle School
277,Palmetto Elementary School,Dade,Miami,FL,Miami-Dade County,12401 SW 74TH AVE,33156,0,Palmetto Elementary School
278,South Hialeah Elementary School,Dade,Hialeah,FL,Miami-Dade County,265 E 5TH ST,33010,0,South Hialeah Elementary School
279,Norma Butler Bossard Elementary School,Dade,Miami,FL,Miami-Dade County,15950 SW 144TH ST,33196,0,Norma Butler Bossard Elementary School
280,Mast Academy,Dade,Key Biscayne,FL,Miami-Dade County,3979 RICKENBACKER CSWY,33149,0,Mast Academy
281,Dr. Carlos J. Finlay Elementary,Dade,Miami,FL,Miami-Dade County,851 SW 117TH AVE,33184,0,Dr. Carlos J. Finlay Elementary School
282,District Summer Center L,Dade,Miami,FL,Miami-Dade County,1500 BISCAYNE BLVD,33132,0,District Summer Center L
283,Wesley Matthews Elementary School,Dade,Miami,FL,Miami-Dade County,12345 SW 18TH TER,33175,0,Wesley Matthews Elementary School
284,Arcola Lake Elementary School,Dade,Miami,FL,Miami-Dade County,1037 NW 81ST ST,33150,0,Arcola Lake Elementary School
285,Holmes Elementary School,Dade,Miami,FL,Miami-Dade County,1175 NW 67TH ST,33150,0,Holmes Elementary School
286,Country Club Middle School,Dade,Miami Lakes,FL,Miami-Dade County,18305 NW 75TH PL,33015,0,Country Club Middle School
287,District Summer Center D,Dade,Miami,FL,Miami-Dade County,1500 BISCAYNE BLVD,33132,0,District Summer Center D
288,Barbara Goleman Senior High,Dade,Miami Lakes,FL,Miami-Dade County,14100 NW 89TH AVE,33018,0,Barbara Goleman Senior High School
289,Richmond Heights Middle School,Dade,Miami,FL,Miami-Dade County,15015 SW 103RD AVE,33176,1,Richmond Heights Middle School
290,Alonzo And Tracy Mourning Senior High Biscayne Bay Campus,Dade,Miami,FL,Miami-Dade County,2601 NE 151ST ST,33160,0,Alonzo And Tracy Mourning Senior High Biscayne Bay Campus
291,John G. Dupuis Elementary School,Dade,Hialeah,FL,Miami-Dade County,1150 W 59TH PL,33012,0,John G. Dupuis Elementary School
292,Brentwood Elementary School,Dade,Miami Gardens,FL,Miami-Dade County,3101 NW 191ST ST,33056,0,Brentwood Elementary School
293,Eugenia B. Thomas K-8 Center,Dade,Doral,FL,Miami-Dade County,5950 NW 114TH AVE,33178,0,Eugenia B. Thomas K-8 Center
294,Florida City Elementary School,Dade,Florida City,FL,Miami-Dade County,364 NW 6TH AVE,33034,0,Florida City Elementary School
295,Southside Elementary School,Dade,Miami,FL,Miami-Dade County,45 SW 13TH ST,33130,0,Southside Elementary School
296,Miami Jackson Senior Adult Ed Center,Dade,Miami,FL,Miami-Dade County,1751 NW 36TH ST,33142,0,Miami Jackson Senior Adult Ed Center
297,Phyllis Wheatley Elementary School,Dade,Miami,FL,Miami-Dade County,1801 NW 1ST PL,33136,0,Phyllis Wheatley Elementary School
298,North Twin Lakes Elementary School,Dade,Hialeah,FL,Miami-Dade County,625 W 74TH PL,33014,0,North Twin Lakes Elementary School
299,Auburndale Elementary School,Dade,Miami,FL,Miami-Dade County,3255 SW 6TH ST,33135,0,Auburndale Elementary School
300,Ruth Owens Kruse Education Center,Dade,Miami,FL,Miami-Dade County,11001 SW 76TH ST,33173,0,Ruth Owens Kruse Education Center
301,Pine Villa Elementary School,Dade,Miami,FL,Miami-Dade County,21799 SW 117TH CT,33170,0,Pine Villa Elementary School
302,Winston Park K-8 Center,Dade,Miami,FL,Miami-Dade County,13200 SW 79TH ST,33183,0,Winston Park K-8 Center
303,Meadowlane Elementary School,Dade,Hialeah,FL,Miami-Dade County,4280 W 8TH AVE,33012,0,Meadowlane Elementary School
304,Miami Coral Park Senior High,Dade,Miami,FL,Miami-Dade County,8865 SW 16TH ST,33165,0,Miami Coral Park Senior High School
305,West Lakes Preparatory Academy,Dade,Hialeah,FL,Miami-Dade County,8435 W 36TH AVE,33018,0,West Lakes Preparatory Academy
306,Hialeah-Miami Lakes Senior High,Dade,Hialeah,FL,Miami-Dade County,7977 W 12TH AVE,33014,0,Hialeah-Miami Lakes Senior High School
307,Lenora Braynon Smith Elementary,Dade,Miami,FL,Miami-Dade County,4700 NW 12TH AVE,33127,0,Lenora Braynon Smith Elementary School
308,Southwest Miami Senior High,Dade,Miami,FL,Miami-Dade County,8855 SW 50TH TER,33165,0,Southwest Miami Senior High School
309,Miami Bridge South,Dade,Homestead,FL,Miami-Dade County,326 NW 3RD AVE,33030,0,Miami Bridge South
310,Howard Drive Elementary School,Dade,Miami,FL,Miami-Dade County,7750 SW 136TH ST,33156,0,Howard Drive Elementary School
311,Robert Morgan Educational Center,Dade,Miami,FL,Miami-Dade County,18180 SW 122ND AVE,33177,0,Robert Morgan Educational Center
312,Amelia Earhart Elementary School,Dade,Hialeah,FL,Miami-Dade County,5987 E 7TH AVE,33013,0,Amelia Earhart Elementary School
313,Santa Clara Elementary School,Dade,Miami,FL,Miami-Dade County,1051 NW 29TH TER,33127,0,Santa Clara Elementary School
314,Jann Mann Educational Center,Dade,Opa Locka,FL,Miami-Dade County,16101 NW 44TH CT,33054,0,Jann Mann Educational Center
315,Golden Glades Elementary School,Dade,Opa Locka,FL,Miami-Dade County,16520 NW 28TH AVE,33054,0,Golden Glades Elementary School
316,Miami Lakes Middle School,Dade,Hialeah,FL,Miami-Dade County,6425 MIAMI LAKEWAY N,33014,0,Miami Lakes Middle School
317,Brownsville Middle School,Dade,Miami,FL,Miami-Dade County,4899 NW 24TH AVE,33142,0,Brownsville Middle School
318,Silver Bluff Elementary School,Dade,Miami,FL,Miami-Dade County,2609 SW 25TH AVE,33133,0,Silver Bluff Elementary School
319,School For Advanced Studies-Wolfson,Dade,Miami,FL,Miami-Dade County,25 NE 2ND ST # 5,33132,0,School For Advanced Studies-Wolfson
320,Hubert O. Sibley K-8 Academy,Dade,Miami,FL,Miami-Dade County,255 NW 115TH ST,33168,0,Hubert O. Sibley K-8 Academy
321,Bel-Aire Elementary School,Dade,Cutler Bay,FL,Miami-Dade County,10205 SW 194TH ST,33157,0,Bel-Aire Elementary School
322,School For Advanced Studies - South,Dade,Miami,FL,Miami-Dade County,11011 SW 104TH ST # T-301,33176,0,School For Advanced Studies - South
323,Felix Varela Senior High School,Dade,Miami,FL,Miami-Dade County,15255 SW 96TH ST,33196,0,Felix Varela Senior High School
324,Royal Palm Elementary School,Dade,Miami,FL,Miami-Dade County,4200 SW 112TH CT,33165,0,Royal Palm Elementary School
325,South Dade Senior High School,Dade,Homestead,FL,Miami-Dade County,28401 SW 167TH AVE,33030,0,South Dade Senior High School
326,Frances S. Tucker Elementary School,Dade,Miami,FL,Miami-Dade County,3500 S DOUGLAS RD,33133,0,Frances S. Tucker Elementary School
327,Zora Neale Hurston Elementary School,Dade,Miami,FL,Miami-Dade County,13137 SW 26TH ST,33175,0,Zora Neale Hurston Elementary School
328,Carrie P. Meek/Westview K-8 Center,Dade,Miami,FL,Miami-Dade County,2101 NW 127TH ST,33167,0,Carrie P. Meek/Westview K-8 Center
329,Dante B. Fascell Elementary School,Dade,Miami,FL,Miami-Dade County,15625 SW 80TH ST,33193,0,Dante B. Fascell Elementary School
330,Spanish Lake Elementary School,Dade,Hialeah,FL,Miami-Dade County,7940 NW 194TH ST,33015,0,Spanish Lake Elementary School
331,Sylvania Heights Elementary School,Dade,Miami,FL,Miami-Dade County,5901 SW 16TH ST,33155,0,Sylvania Heights Elementary School
332,Kinloch Park Middle School,Dade,Miami,FL,Miami-Dade County,4340 NW 3RD ST,33126,0,Kinloch Park Middle School
333,South Miami Heights Elementary,Dade,Miami,FL,Miami-Dade County,12231 SW 190TH TER,33177,0,South Miami Heights Elementary School
334,District Instructional Center (Dic),Dade,Miami,FL,Miami-Dade County,1500 BISCAYNE BLVD,33132,0,District Instructional Center (Dic)
335,Amikids Miami-Dade North,Dade,Miami,FL,Miami-Dade County,2701 NE 151ST ST,33160,0,Amikids Miami-Dade North
336,Liberty City Elementary School,Dade,Miami,FL,Miami-Dade County,1855 NW 71ST ST,33147,0,Liberty City Elementary School
337,West Miami Middle School,Dade,Miami,FL,Miami-Dade County,7525 SW 24TH ST,33155,0,West Miami Middle School
338,Kenwood K-8 Center,Dade,Miami,FL,Miami-Dade County,9300 SW 79TH AVE,33156,0,Kenwood K-8 Center
339,Pine Lake Elementary School,Dade,Miami,FL,Miami-Dade County,16700 SW 109TH AVE,33157,0,Pine Lake Elementary School
340,Broadmoor Elementary School,Dade,Miami,FL,Miami-Dade County,3401 NW 83RD ST,33147,0,Broadmoor Elementary School
341,Dorothy M. Wallace Cope Center,Dade,Miami,FL,Miami-Dade County,10225 SW 147TH TER,33176,0,Dorothy M. Wallace Cope Center
342,Cypress K-8 Center,Dade,Miami,FL,Miami-Dade County,5400 SW 112TH CT,33165,0,Cypress K-8 Center
343,School For Advanced Studies North,Dade,Miami,FL,Miami-Dade County,11380 NW 27TH AVE # 1111,33167,0,School For Advanced Studies North
344,William H. Turner Technical Adult,Dade,Miami,FL,Miami-Dade County,10151 NW 19TH AVE,33147,0,William H. Turner Technical Adult
345,Benjamin Franklin K-8 Center,Dade,North Miami,FL,Miami-Dade County,13100 NW 12TH AVE,33168,0,Benjamin Franklin K-8 Center
346,Orchard Villa Elementary School,Dade,Miami,FL,Miami-Dade County,5720 NW 13TH AVE,33142,0,Orchard Villa Elementary School
347,Mae M. Walters Elementary School,Dade,Hialeah,FL,Miami-Dade County,650 W 33RD ST,33012,0,Mae M. Walters Elementary School
348,David Fairchild Elementary School,Dade,Miami,FL,Miami-Dade County,5757 SW 45TH ST,33155,0,David Fairchild Elementary School
349,Miami Sunset Senior High School,Dade,Miami,FL,Miami-Dade County,13125 SW 72ND ST,33183,0,Miami Sunset Senior High School
350,American Senior High School,Dade,Hialeah,FL,Miami-Dade County,18350 NW 67TH AVE,33015,0,American Senior High School
351,Title I Migrant Education Program,Dade,Homestead,FL,Miami-Dade County,28205 SW 124 COURT BLDG F  ROOM F019,33033,0,Title I Migrant Education Program
352,Miami Palmetto Senior High School,Dade,Miami,FL,Miami-Dade County,7460 SW 118TH ST,33156,0,Miami Palmetto Senior High School
353,Ruth K. Broad Bay Harbor K-8 Center,Dade,Bay Harbor Islands,FL,Miami-Dade County,1155 93RD ST,33154,0,Ruth K. Broad Bay Harbor K-8 Center
354,Hialeah Gardens Elementary School,Dade,Hialeah Gardens,FL,Miami-Dade County,9702 NW 130TH ST,33018,0,Hialeah Gardens Elementary School
355,Lake Stevens Middle School,Dade,Miami Gardens,FL,Miami-Dade County,18484 NW 48TH PL,33055,0,Lake Stevens Middle School
356,District Summer Center H,Dade,Miami,FL,Miami-Dade County,1500 BISCAYNE BLVD,33132,0,District Summer Center H
357,Miami Gardens Elementary School,Dade,Miami Gardens,FL,Miami-Dade County,4444 NW 195TH ST,33055,0,Miami Gardens Elementary School
